decade	coll	going_to_norm	will_norm	joint_freq	diff
1810	accept	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	act	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	add	0	5.08034566671916	5.08034566671916	-5.08034566671916
1810	admit	0	11.8541398890114	11.8541398890114	-11.8541398890114
1810	affect	0	0	0	0
1810	afford	0	8.46724277786527	8.46724277786527	-8.46724277786527
1810	agree	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	allow	0	4.23362138893264	4.23362138893264	-4.23362138893264
1810	answer	0	14.394312722371	14.394312722371	-14.394312722371
1810	appear	0	18.6279341113036	18.6279341113036	-18.6279341113036
1810	apply	0	5.08034566671916	5.08034566671916	-5.08034566671916
1810	arise	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	arrest	0	0	0	0
1810	arrive	0	4.23362138893264	4.23362138893264	-4.23362138893264
1810	ask	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	attack	0	0	0	0
1810	attempt	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	attend	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	be	2.54017283335958	754.431331507796	756.971504341155	-751.891158674436
1810	bear	0	8.46724277786527	8.46724277786527	-8.46724277786527
1810	beat	0.846724277786527	0	0.846724277786527	0.846724277786527
1810	become	0	22.0148312224497	22.0148312224497	-22.0148312224497
1810	begin	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	believe	0	4.23362138893264	4.23362138893264	-4.23362138893264
1810	benefit	0	0	0	0
1810	blow	0	0	0	0
1810	break	0	6.77379422229222	6.77379422229222	-6.77379422229222
1810	bring	0	11.8541398890114	11.8541398890114	-11.8541398890114
1810	build	0	0	0	0
1810	burn	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	bury	0	0	0	0
1810	buy	0	5.08034566671916	5.08034566671916	-5.08034566671916
1810	call	0	8.46724277786527	8.46724277786527	-8.46724277786527
1810	carry	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	catch	0	0	0	0
1810	cause	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	cease	0	8.46724277786527	8.46724277786527	-8.46724277786527
1810	change	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	check	0	0	0	0
1810	choose	0	0.846724277786527	0.846724277786527	-0.846724277786527
1810	clean	0	0	0	0
1810	clear	0	0	0	0
1810	climb	0	0	0	0
1810	close	0	0	0	0
1810	come	0	22.8615555002362	22.8615555002362	-22.8615555002362
1810	consider	0	5.92706994450569	5.92706994450569	-5.92706994450569
1810	contain	0	0	0	0
1810	continue	0	5.08034566671916	5.08034566671916	-5.08034566671916
1810	cook	0	0	0	0
1810	cost	0	0.846724277786527	0.846724277786527	-0.846724277786527
1810	cover	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	create	0	0.846724277786527	0.846724277786527	-0.846724277786527
1810	cross	0	0	0	0
1810	cry	0	0	0	0
1810	cut	0.846724277786527	1.69344855557305	2.54017283335958	-0.846724277786527
1810	dance	0	0	0	0
1810	decide	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	deliver	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	demand	0	0.846724277786527	0.846724277786527	-0.846724277786527
1810	depend	0	5.92706994450569	5.92706994450569	-5.92706994450569
1810	destroy	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	determine	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	develop	0	0	0	0
1810	die	0	5.08034566671916	5.08034566671916	-5.08034566671916
1810	disappear	0	0	0	0
1810	discover	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	do	0	45.7231110004725	45.7231110004725	-45.7231110004725
1810	draw	0.846724277786527	3.38689711114611	4.23362138893264	-2.54017283335958
1810	drink	0	0	0	0
1810	drive	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	drop	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	eat	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	enable	0	7.62051850007875	7.62051850007875	-7.62051850007875
1810	end	0	4.23362138893264	4.23362138893264	-4.23362138893264
1810	enjoy	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	enter	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	excuse	0	0.846724277786527	0.846724277786527	-0.846724277786527
1810	explain	0	5.08034566671916	5.08034566671916	-5.08034566671916
1810	explode	0	0	0	0
1810	face	0	0	0	0
1810	fail	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	faint	0	0	0	0
1810	fall	0	8.46724277786527	8.46724277786527	-8.46724277786527
1810	feed	0	0	0	0
1810	feel	0	6.77379422229222	6.77379422229222	-6.77379422229222
1810	fight	0	0	0	0
1810	fill	0	0.846724277786527	0.846724277786527	-0.846724277786527
1810	find	0	34.7156953892476	34.7156953892476	-34.7156953892476
1810	finish	0	0	0	0
1810	fire	0	0	0	0
1810	fix	0	0	0	0
1810	fly	0	5.08034566671916	5.08034566671916	-5.08034566671916
1810	follow	0	18.6279341113036	18.6279341113036	-18.6279341113036
1810	force	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	forget	0	2.54017283335958	2.54017283335958	-2.54017283335958
1810	forgive	0	1.69344855557305	1.69344855557305	-1.69344855557305
1810	form	0	5.08034566671916	5.08034566671916	-5.08034566671916
1810	furnish	0	6.77379422229222	6.77379422229222	-6.77379422229222
1810	gain	0	0.846724277786527	0.846724277786527	-0.846724277786527
1810	get	0	2.54017283335958	2.54017283335958	-2.54017283335958
