collocate	1810	1820	1830	1840	1850	1860	1870	1880	1890	1900	1910	1920	1930	1940	1950	1960	1970	1980	1990	2000
force	4	2	11	12	13	18	14	17	12	23	21	35	28	18	20	26	33	34	33	21
forget	3	11	25	38	35	25	38	44	40	33	35	35	18	19	23	17	16	12	21	22
forgive	2	34	38	37	45	38	60	71	45	47	37	36	28	45	33	19	25	27	12	19
form	6	22	46	41	35	24	28	17	29	43	24	35	24	20	18	24	15	25	14	25
furnish	8	32	41	38	44	31	37	39	38	46	47	49	20	24	10	9	6	9	2	3
gain	1	11	23	25	30	27	22	22	24	22	21	28	25	12	27	22	24	18	28	15
get	3	25	80	107	172	191	228	329	293	316	364	411	332	451	427	429	395	353	436	466
give	50	256	426	477	532	531	580	688	622	648	556	587	472	446	434	379	349	282	343	314
go	39	205	384	511	597	556	830	865	834	847	640	825	612	630	727	565	620	553	483	479
grow	5	9	39	75	100	62	54	99	61	118	88	75	65	74	78	64	87	105	123	91
happen	5	9	15	18	28	36	41	44	57	81	97	115	141	136	148	184	223	176	233	211
have	111	417	758	883	1042	1027	1205	1465	1487	1790	1833	2190	2064	2197	2144	2020	2083	1899	1802	1634
hear	9	47	79	84	88	68	84	68	70	85	73	63	76	67	60	49	53	62	63	71
help	4	15	46	58	83	96	136	170	169	207	231	214	202	224	239	254	280	280	440	517
hold	8	14	50	69	72	72	91	100	93	102	87	138	120	119	114	97	96	88	115	114
improve	1	3	12	7	13	8	7	8	11	12	6	25	28	22	14	25	24	33	47	50
include	2	0	4	9	4	5	6	14	13	25	20	43	53	72	75	65	74	90	90	96
increase	0	14	44	34	30	28	21	32	37	35	43	58	67	74	79	88	88	87	82	68
join	6	21	32	41	31	36	32	42	46	43	37	42	51	31	43	50	49	67	60	37
keep	13	39	137	145	116	152	197	256	177	187	172	209	165	168	170	158	145	162	212	221
kill	1	18	23	51	49	50	65	92	75	63	61	60	60	63	84	49	67	89	88	89
know	2	41	78	87	117	118	128	151	141	173	173	179	159	138	166	118	158	155	142	134
last	0	7	19	15	21	44	36	54	36	53	35	56	62	59	47	50	57	58	77	76
lay	6	17	29	26	31	25	18	32	20	26	13	29	20	14	13	15	15	19	13	11
lead	11	52	68	90	87	66	74	75	73	77	73	94	104	81	70	101	119	119	124	134
learn	1	24	43	45	43	39	54	67	53	68	49	55	52	57	50	40	43	51	74	61
leave	11	64	125	138	177	132	165	169	152	173	161	170	129	106	126	123	130	135	116	110
let	7	39	47	101	123	113	162	170	167	159	142	141	87	83	75	56	68	90	104	116
lie	5	12	21	28	29	24	34	28	36	29	30	23	36	21	26	23	24	26	13	14
like	2	2	6	16	29	51	74	61	48	58	55	62	38	29	29	29	20	16	28	40
listen	0	18	38	28	21	24	37	40	38	32	30	31	24	22	28	34	49	35	39	44
live	10	29	53	76	83	72	64	76	84	95	66	89	68	85	76	73	72	80	85	98
look	6	30	75	101	83	89	107	151	108	127	130	126	101	108	120	76	121	88	165	143
lose	2	18	47	34	29	45	48	68	56	68	50	58	63	68	67	86	87	84	83	83
love	5	27	54	63	65	41	55	56	38	46	42	49	23	29	28	20	26	33	37	63
make	59	237	453	463	536	533	603	763	727	831	757	847	621	637	600	606	554	570	610	635
marry	6	13	15	17	24	29	52	58	32	53	45	44	28	33	26	16	20	24	16	27
mean	0	1	2	1	0	3	3	12	33	60	101	132	127	128	87	65	67	70	56	46
meet	10	43	77	82	101	82	100	115	109	115	117	153	165	146	186	137	123	103	93	111
miss	0	1	8	10	14	11	18	22	23	20	15	17	11	14	17	25	19	24	44	49
move	4	4	11	25	18	22	19	18	29	20	20	28	43	54	76	100	68	73	97	103
need	2	8	33	52	59	50	63	75	79	96	101	96	117	138	146	140	185	175	259	255
occur	2	12	12	13	16	17	15	24	19	17	26	30	25	27	32	47	44	41	64	42
offer	1	9	19	20	13	19	15	19	14	17	21	46	44	34	52	45	51	68	81	93
open	3	20	21	24	27	27	32	48	52	51	36	66	54	47	75	61	52	57	73	96
pardon	7	21	36	39	43	39	45	53	55	47	40	32	16	14	13	7	4	3	2	4
pass	6	27	74	76	64	77	73	96	80	76	76	102	83	75	67	66	63	61	65	61
pay	6	12	54	77	111	94	124	113	130	162	126	182	175	144	149	135	127	153	165	162
perceive	3	53	68	49	35	32	21	14	18	17	15	10	5	2	8	6	0	3	5	1
permit	14	54	71	61	89	70	69	72	76	79	81	111	96	97	72	77	37	33	16	16
place	4	17	30	36	24	20	25	12	18	38	21	30	25	30	14	20	18	26	15	16
play	0	6	20	22	15	24	22	23	27	53	43	79	60	56	57	50	56	90	104	153
please	5	22	29	55	37	18	33	53	27	30	28	25	15	9	13	11	15	19	5	6
present	6	8	25	16	28	14	19	21	31	23	23	40	44	38	37	35	23	31	24	57
prevent	3	16	33	36	39	42	57	33	46	56	55	54	33	50	25	23	36	16	23	29
proceed	4	24	33	43	39	23	21	23	36	18	31	41	35	33	22	21	14	11	12	9
produce	4	25	54	70	79	41	52	42	50	65	61	75	73	67	69	103	72	70	71	50
protect	9	25	32	25	32	19	24	26	23	20	28	28	29	18	21	23	22	28	38	43
prove	25	55	112	123	113	127	133	107	106	138	113	115	98	82	58	64	47	55	54	44
provide	2	10	11	17	30	19	25	26	25	47	43	73	75	118	118	127	132	121	193	171
put	8	44	89	84	78	95	102	117	117	134	121	164	112	115	123	95	78	90	102	98
raise	2	10	31	30	31	28	27	16	32	34	15	22	36	28	41	27	32	39	24	20
reach	4	9	26	29	27	25	38	57	56	45	49	70	56	62	46	62	52	51	65	45
read	2	15	41	51	60	60	51	60	59	53	46	42	29	28	46	29	30	33	24	28
receive	9	42	78	101	81	95	71	95	79	91	102	174	175	148	102	111	103	96	90	109
recognize	0	0	5	10	16	30	22	31	41	37	20	32	39	29	25	31	21	23	24	35
reduce	0	2	2	5	3	6	5	5	5	17	14	26	30	30	39	36	42	45	41	33
remain	14	62	93	93	129	115	126	136	156	135	153	188	194	186	167	216	178	210	185	163
remember	3	36	65	97	137	87	81	106	99	98	106	98	70	65	73	61	62	58	57	48
render	9	34	65	50	32	34	27	32	27	25	16	15	12	6	6	4	7	4	4	7
report	0	1	2	5	8	7	10	16	18	17	29	38	34	27	42	22	24	28	12	19
require	7	34	98	72	83	62	53	64	41	67	102	83	89	116	103	96	85	101	171	126
rest	1	10	18	23	20	21	25	37	27	24	26	19	33	18	13	14	12	8	12	8
result	4	9	14	14	23	15	33	29	35	45	46	90	87	82	70	69	59	66	72	50
return	19	51	94	104	100	88	99	104	109	97	90	101	110	83	94	91	92	122	112	117
rise	8	24	53	77	65	54	52	47	41	35	35	55	49	64	55	105	83	89	78	73
run	1	20	27	39	46	46	55	62	75	80	67	105	78	83	93	102	94	82	129	79
satisfy	3	19	23	26	30	26	19	29	23	17	26	25	10	19	13	16	23	16	6	12
save	7	30	63	91	70	65	79	93	65	81	69	79	73	78	51	61	77	58	61	79
say	11	114	175	215	210	195	239	291	258	286	262	253	217	191	150	181	168	177	178	156
secure	4	15	25	62	35	39	33	45	29	21	24	6	12	4	2	1	5	4	2	3
see	28	134	344	362	442	416	482	542	474	498	388	442	370	305	318	270	260	304	323	361
seek	4	18	48	58	55	27	34	43	35	40	36	55	64	56	64	68	65	62	41	38
seem	2	15	22	32	36	45	47	66	66	55	72	45	38	42	38	30	31	28	37	24
sell	4	9	13	22	32	18	28	35	25	37	33	49	36	57	43	48	45	58	60	45
send	6	38	75	89	133	137	128	146	137	138	89	104	97	87	93	82	78	101	78	74
serve	13	47	98	80	99	71	72	84	99	112	234	112	121	100	106	92	104	77	86	71
set	2	23	51	39	65	51	67	66	43	60	50	67	55	52	62	39	65	51	43	69
settle	1	9	14	12	21	27	23	41	32	28	31	17	15	15	23	22	22	18	17	11
share	1	6	14	21	24	16	15	16	15	15	12	11	20	17	28	22	17	31	29	25
show	13	83	210	223	209	216	245	280	238	241	233	323	217	164	158	157	151	136	130	140
sing	6	4	16	28	21	18	22	22	32	27	26	28	18	13	20	17	29	22	15	12
sit	5	9	18	24	35	25	44	42	50	53	18	58	40	43	41	29	49	36	33	37
speak	6	38	81	110	72	83	72	107	88	78	45	85	53	63	63	47	58	50	37	48
spend	1	7	4	8	11	9	17	28	19	24	27	56	44	46	59	67	47	65	84	73
stand	15	29	79	103	91	86	83	123	121	130	134	156	115	92	103	71	70	35	46	54
start	1	2	7	18	21	19	28	33	37	45	57	96	74	109	120	110	73	85	111	119
stay	3	20	24	34	41	51	115	93	82	106	90	82	91	86	88	97	116	104	111	95
stop	4	10	20	26	29	31	43	46	35	40	55	71	54	60	67	53	59	69	82	74
strike	1	11	25	28	16	19	33	27	20	28	35	18	20	27	19	24	20	22	26	20
succeed	2	10	14	24	43	33	25	40	35	51	47	41	30	23	32	49	43	38	35	28
suffer	9	19	46	59	45	20	31	45	41	38	41	47	32	52	35	47	53	46	42	46
suffice	6	13	30	41	54	35	47	47	28	68	35	28	24	18	14	24	16	14	12	15
supply	1	13	20	19	28	12	20	18	16	31	19	15	18	33	18	21	22	15	14	12
support	1	15	12	18	28	17	22	20	34	23	25	35	29	30	50	49	37	30	23	40
survive	0	3	6	8	14	13	8	11	8	11	12	29	19	13	21	40	41	41	46	49
take	42	191	377	420	520	594	663	778	739	745	708	847	688	688	697	661	617	723	687	651
talk	4	10	27	33	54	59	60	60	57	59	39	52	46	35	57	55	56	45	54	50
teach	4	26	44	41	50	37	42	35	48	37	50	25	11	37	35	30	20	32	52	41
tell	25	146	221	292	345	323	378	491	450	433	389	367	249	269	265	244	216	253	275	268
tend	6	12	21	18	29	29	36	34	36	48	64	61	54	51	37	68	61	32	23	19
think	11	55	92	86	107	106	120	124	112	145	106	105	74	67	42	51	57	56	81	68
throw	3	20	31	36	43	30	22	33	31	30	36	36	30	26	27	21	17	12	16	20
try	7	63	72	109	141	154	204	219	184	159	122	123	95	112	144	152	130	161	113	138
turn	6	33	79	71	82	72	77	73	84	100	91	105	105	110	131	114	117	131	155	124
understand	2	20	40	33	40	75	72	87	88	99	88	100	72	72	50	52	70	44	48	44
use	2	11	33	34	42	35	38	45	48	27	47	79	62	79	91	86	103	114	135	116
visit	3	13	14	21	16	18	14	9	22	15	12	24	13	13	34	23	37	28	24	19
vote	0	0	8	5	8	19	13	34	57	34	30	50	37	47	50	53	51	28	37	17
wait	2	18	32	50	55	57	80	62	70	103	61	53	48	38	45	40	39	43	39	33
walk	0	8	26	23	21	20	36	45	19	26	26	38	10	21	34	15	20	24	25	40
want	2	12	17	18	41	46	53	72	48	50	78	85	102	118	100	92	113	132	116	96
watch	4	18	24	20	28	24	25	22	22	27	24	30	18	11	15	10	18	21	16	20
wear	2	7	17	21	24	30	33	26	30	34	26	36	39	35	27	17	25	20	26	34
win	1	1	27	18	20	18	21	37	30	36	57	84	58	58	76	68	57	61	58	71
work	3	18	25	31	68	47	70	58	79	75	94	96	87	114	138	123	148	105	172	163
write	4	41	27	62	49	74	78	74	67	64	66	60	38	44	46	32	37	46	44	32
yield	5	21	48	46	51	47	23	43	37	39	34	42	41	29	20	30	18	18	22	20
